,title,journal,authors,links,abstract
0,"[Local barrier creams for skin care in newborns, infants and toddlers with incontinence-associated dermatitis (IAD) – Narrative Review]",Pflege,Sibylle Reick,https://doi.org/10.1024/1012-5302/a000522,"Background: The incontinence-associated dermatitis (IAD) is a common condition in newborns, infants and toddlers. For the therapy nurses and parents have the choice between numerous barrier creams based on zinc oxide, Dexpanthenol or Vaseline in various combinations of active agents and with additional ingredients. Research question: Which combination of active ingredients in local barrier creams reduce pain, severity of or duration of healing in IAD in neonates, infants and young children? Method: MEDLINE and CINAHL was systematically search for randomized controlled trials on the effect of barrier creams in pediatric patients with IAD. These were evaluated on validity and applicability. Results: 15 RCTs were found, of which six were included in the systematic review. The methodological quality of these trials ranges from good to poor, partially high bias risk were recognizable. Barrier creams containing the active ingredients zinc oxide / lanolin, zinc oxide / cod liver oil, zinc oxide / Dexpanthenol, paraffin / beeswax / Dexpanthenol show effects. They reduce the IAD-associated symptoms. Conclusions: The investigated barrier creams can be used in the pediatric nursing for the treatment of IAD. Because of limitations it cannot be ruled out that further studies will change the results."
1,Prevention and Management of Incontinence-Associated Dermatitis in the Pediatric Population: An Integrative Review,J Wound Ostomy Continence Nurs,Yvonne Siew Ling Lim,https://doi.org/10.1097/won.0000000000000490,"An integrative review was conducted to synthesize evidence on prevention and management of incontinence-associated dermatitis (IAD) in the pediatric population. A 5-step integrative process was used to guide the review. Articles published from January 2000 to April 6, 2017, were identified and retrieved from CINAHL, PubMed, ProQuest (MEDLINE), and Scopus; key terms were associated with IAD, pediatric, prevention, and management. Supplemental and manual searches were carried out to identify other relevant studies. The studies' findings were extracted and summarized in a table of evidence, with their quality evaluated using the Joanna Briggs Institute's Critical Appraisal Checklist. Sixteen articles were included in the review. Articles explored prevention and management strategies including skin cleansing technique, diaper selection, and the application of topical skin care products. Inconsistent and limited evidence was found regarding the benefits of using disposable wipes in preference to water-moistened washcloths in the cleansing process and on the use of superabsorbent polymer diapers with breathable outer lining in IAD prevention. Findings were inconclusive with regard to the best topical skin care product for IAD care. However, the application of skin protectants was encouraged by the authors, as well as promoted in various clinical guidelines. The development of a structured skin care regimen supplemented by a comprehensive patient education program was advised to enhance the prevention and management of IAD."
2,Improving diaper design to address incontinence associated dermatitis,BMC Geriatr,Anne-Marie Beguin,https://doi.org/10.1186/1471-2318-10-86,"Background: Incontinence associated dermatitis (IAD) is an inflammatory skin disease mainly triggered by prolonged skin contact with urine, feces but also liberal detergent use when cleansing the skin. To minimize the epidermal barrier challenge we optimized the design of adult incontinence briefs. In the fluid absorption area we interposed a special type of acidic, curled-type of cellulose between the top sheet in contact with the skin and the absorption core beneath containing the polyacrylate superabsorber. The intention was to minimize disturbance of the already weak acid mantle of aged skin. We also employed air-permeable side panels to minimize skin occlusion and swelling of the stratum corneum.
Methods: The surface pH of diapers was measured after repeated wetting with a urine substitute fluid at the level of the top sheet. Occlusive effects and hydration of the stratum corneum were measured after a 4 hour application of different side panel materials by corneometry on human volunteers. Finally, we evaluated skin symptoms in 12 patients with preexisting IAD for 21 days following the institutional switch to the optimized diaper design. Local skin care protocols remained in place unchanged.
Results: The improved design created a surface pH of 4.6 which was stable even after repeated wetting throughout a 5 hour period. The ""standard design"" briefs had values of 7.1, which is alkaline compared to the acidic surface of normal skin. Side panels made from non-woven material with an air-permeability of more than 1200 l/m2/s avoided excessive hydration of the stratum corneum when compared to the commonly employed air-impermeable plastic films. Resolution of pre-existing IAD skin lesions was noted in 8 out of 12 patients after the switch to the optimized brief design.
Conclusions: An improved design of adult-type briefs can create an acidic pH on the surface and breathable side panels avoid over-hydration of the stratum corneum and occlusion. This may support the epidermal barrier function and may help to reduce the occurrence of IAD."
3,"Beyond ""diaper rash"": Incontinence-associated dermatitis: does it have you seeing red?",Nursing,Joan Junkin,https://doi.org/10.1097/01.nurse.0000341725.55531.e2,Incontinence-associated dermatitis (IAD) results from frequent exposure to urine or feces. Consistent preventive skin care or treatment may reduce the incidence of IAD. The authors propose using an IAD classification and intervention tool (IADIT) to make detecting and treating IAD easier and more consistent.
4,"Assessing absorbent products' effectiveness for the prevention and management of incontinence-associated dermatitis caused by urinary, faecal or double adult incontinence: A systematic review",J Tissue Viability,Yuko Mugita,https://doi.org/10.1016/j.jtv.2021.07.002,"Objective: Adults who suffer from incontinence are at substantial risk of developing incontinence-associated dermatitis (IAD). In healthcare settings, several interventions have been implemented to prevent or manage IAD, and several absorbent products have been developed for incontinent patients; however, there is no systematic review that has reported on which absorbent products are effective for the prevention or management of incontinence-associated dermatitis. We conducted a systematic review to investigate the effectiveness of absorbent products in the prevention and management of IAD.
Methods: MEDLINE (1946-August 31, 2020), CINAHL (1982-August 31, 2020), and Cochrane Library (August 31, 2020) were searched for relevant articles.
Results: Eight studies met the eligibility criteria and were included in this review, including two randomized controlled trials that were designed to evaluate the efficacy of absorbent products on the prevention or management of incontinence-associated dermatitis. Quality of evidence was assessed as low or very low. The findings revealed that some outcomes related to IAD prevention or improvement of IAD can be positively affected by the introduction of a new absorbent product or a difference in the frequency of pad changing, which can control the overhydration of the skin.
Conclusions: The studies included in this review indicated that the problem of control of overhydration of the skin associated with urine and/or faeces can be controlled by absorbent products and these products may be effective for the prevention or management of incontinence-associated dermatitis. Future research with high-quality studies is required."
5,Skin Health Connected to the Use of Absorbent Hygiene Products: A Review,Dermatol Ther (Heidelb),Johanna Karlsson Bender,https://doi.org/10.1007/s13555-017-0189-y,"Over the past 50 years, absorbent hygiene products such as baby diapers and incontinence products have become essential features of modern day life. Through innovation and enhanced technology, their design, composition and performance have been dramatically upgraded from their early forms, and they have transformed the lives of millions of people, improving their quality of life. Skin health related to the use of absorbent hygiene products has accordingly also greatly improved. Still, the wearing of absorbent hygiene products will affect the skin, and for some users the changes in microclimate, mechanical interactions and the exposure to urine and faeces may result in irritant contact dermatitis, i.e. diaper dermatitis (DD) or incontinence-associated dermatitis (IAD). Babies with developing skin and the elderly with deteriorating skin functions who are the most frequent users of absorbent hygiene products are more vulnerable to the causal factors. Although irritant reactions are the most common, allergic contact dermatitis should be considered if a DD/IAD fails to improve by recommended actions. There is also a connection between IAD and pressure ulcer development of which it is important to be aware. A holistic approach of using high-quality absorbent hygiene products in combination with appropriate skin care will help maintaining good skin health."
6,Development of a New Incontinence Containment Product and an Investigation of Its Effect on Perineal Dermatitis in Patients With Fecal Incontinence: A Pilot Study in Women,Wound Manag Prev,Hülya Leblebícíglu,,"Research related to the design and development of new incontinence containment products for women is scarce.
Purpose: The purpose of this 2-part study was to 1) develop a new incontinence containment product for fecal incontinence and 2) examine the effect of this new product on the occurrence of incontinence-associated dermatitis (IAD).
Methods: In part 1, a new incontinence containment product was designed, developed, and trialed among 10 healthy female volunteers. The product was comprised of a double layer of polypropylene nonwoven fabric and 100% cotton interlock fabric with a 3-ply 100% cotton interlock fabric added into the perianal section. Participants wore the product for 8 hours and were asked to defecate into the product and evaluate its comfort, ability to contain liquids and protect privacy, any personal allergic reaction, and air permeability. In part 2, after any product modifications, 12 bedridden women treated in the neurology unit of a hospital in western Turkey who had an indwelling urinary catheter and fecal incontinence and who did not have diabetes mellitus, a darkly pigmented area in the perianal area, pressure injury, or erythema were randomized to 2 groups (study product and control, a premium adult diaper) and monitored for 8 days for the development and severity of perineal dermatitis (scored from 0 [no erythema] to 4 [broken, abraded skin]) using a skin assessment tool. Any type of erythema was considered IAD. Skin care (cleansing with a washcloth and water) was provided daily and after each defecation to all study participants. Data were collected via paper-and-pencil completion of the perineal skin integrity assessment and patient observation forms and entered into and analyzed by a computerized statistical program. Fisher's exact test and the chi-squared test were used to analyze the difference in IAD incidence and severity between the 2 groups, and the Mann Whitney U test was used to detect differences in the number and consistency of defecations.
Results: No statistically significant differences were noted among the characteristics of the 12 participants (6 in each group) except for age; patients in the study product group were significantly older (70.66 ± 10.36 vs 52.20 ± 16.78 years; P <.05. Four (4) patients in the study group exhibited 13 areas of perineal dermatitis (degree 1 = 6 areas; degree 2 = 6 areas; degree 3 = 1 area; and degree 4 = 0); 1 patient in the control group had 4 areas with degree 1.
Conclusion: This prototype product is not sufficient to be used in clinical practice in patients with fecal incontinence, but further study in a larger population is warranted.."
7,Treatment of incontinence-associated dermatitis (diaper rash) in a neonatal unit,J Wound Ostomy Continence Nurs,Catherine Ratliff,https://doi.org/10.1097/01.won.0000264828.88237.de,
8,Diagnosing and treating moisture-associated skin damage,Adv Skin Wound Care,Karen Zulkowski,https://doi.org/10.1097/01.asw.0000414707.33267.92,"Certain types of moisture can cause debilitating damage to the skin. Terms such as perineal dermatitis, diaper rash, incontinence-associated dermatitis, or moisture-associated skin damage describe some of the conditions caused by moisture from wound drainage, fecal and/or urinary incontinence, and perspiration. It is important for clinicians to correctly diagnose and to locally treat the cause of skin damage, as well as promote appropriate cleaning techniques, to keep patients' skin healthy."
9,A Smart Diaper System Using Bluetooth and Smartphones to Automatically Detect Urination and Volume of Voiding: Prospective Observational Pilot Study in an Acute Care Hospital,J Med Internet Res,Jae Ho Cho,https://doi.org/10.2196/29979,"Background: Caregivers of patients who wear conventional diapers are required to check for voiding every hour because prolonged wearing of wet diapers causes health problems including diaper dermatitis and urinary tract infections. However, frequent checking is labor intensive and disturbs patients' and caregivers' sleep. Furthermore, assessing patients' urine output with diapers in an acute care setting is difficult. Recently, a smart diaper system with wetness detection technology was developed to solve these issues.
Objective: We aimed to evaluate the applicability of the smart diaper system for urinary detection, its accuracy in measuring voiding volume, and its effect on incontinence-associated dermatitis (IAD) occurrence in an acute care hospital.
Methods: This prospective, observational, single-arm pilot study was conducted at a single tertiary hospital. We recruited 35 participants aged ≥50 years who were wearing diapers due to incontinence between August and November 2020. When the smart diaper becomes wet, the smart diaper system notifies the caregiver to change the diaper and measures voiding volume automatically. Caregivers were instructed to record the weight of wet diapers on frequency volume charts (FVCs). We determined the voiding detection rate of the smart diaper system and compared the urine volume as automatically calculated by the smart diaper system with the volume recorded on FVCs. Agreement between the two measurements was estimated using a Bland-Altman plot. We also checked for the occurrence or aggravation of IAD and bed sores.
Results: A total of 30 participants completed the protocol and 390 episodes of urination were recorded. There were 108 records (27.7%) on both the FVCs and the smart diaper system, 258 (66.2%) on the FVCs alone, 18 (4.6%) on the smart diaper system alone, and 6 (1.5%) on the FVCs with sensing device lost. The detection rate of the smart diaper system was 32.8% (126/384). When analyzing records concurrently listed in both the FVCs and the smart diaper system, linear regression showed a strong correlation between the two measurements (R2=0.88, P<.001). The Bland-Altman assessment showed good agreement between the two measurements, with a mean difference of -4.2 mL and 95% limits of agreement of -96.7 mL and 88.3 mL. New occurrence and aggravation of IAD and bed sores were not observed. Bed sores improved in one participant.
Conclusions: The smart diaper system showed acceptable accuracy for measuring urine volume and it could replace conventional FVCs in acute setting hospitals. Furthermore, the smart diaper system has the potential advantage of preventing IAD development and bed sore worsening. However, the detection rate of the smart diaper system was lower than expected. Detection rate polarization among participants was observed, and improvements in the user interface and convenience are needed for older individuals who are unfamiliar with the smart diaper system."
