,Unnamed: 0,title,year,journal,authors,links,abstract
0,0,"Incontinence-Associated Dermatitis: Pathogenesis, Contributing Factors, Prevention and Management Options",2018,Drugs Aging,Hilde Beele,https://doi.org/10.1007/s40266-017-0507-1,"Incontinence-associated dermatitis (IAD) is a common type of irritant contact dermatitis, seen in patients with urinary or faecal incontinence. Mechanical factors such as traumata and friction may aggravate the lesions. The fragile skin in elderly patients is more prone to developing IAD. The clinical picture of IAD consists of persistent redness on the one hand and skin loss on the other. Both categories may be associated with clinical signs of major colonisation or infection. It is important to distinguish IAD from pressure ulcers and other dermatoses in the genital region. Due to the lack of well-established clinical trials, recommendations about prevention and treatment are based on expert opinion and best practice. Gentle cleansing, use of hydrating topical agents and application of barrier products are the main elements in the prevention and treatment of IAD. It is important to translate these recommendations and general guidelines into ready-to-use protocols that can be implemented for each specific clinical manifestation of IAD."
1,1,An update on diaper dermatitis,2014,Clin Dermatol,Christopher Klunk,https://doi.org/10.1016/j.clindermatol.2014.02.003,"Diaper dermatitis leads to approximately 20% of all childhood dermatology visits. There have been several technologic advances in diaper design the last several years; however, due to the unique environment of the diaper area, many children continue to suffer from a variety of dermatologic conditions of this region. Common causes include allergic contact dermatitis, irritant contact dermatitis, infection, and psoriasis. Treatments include allergen avoidance, barrier protection, parent education, and topical therapies."
2,2,Common Neonatal Rashes,2019,Pediatr Ann,Angad Chadha,https://doi.org/10.3928/19382359-20181206-01,"Skin eruptions are commonly encountered in the neonatal and infant period and can be a source of concern for providers and parents alike. We present a brief, clinically focused discussion on topics commonly encountered by the pediatrician with a focus on pearls of knowledge to help distinguish diseases from one another and from more serious conditions. We review miliaria, transient neonatal pustular melanosis, neonatal cephalic pustulosis, erythema toxicum neonatorum, diaper dermatitis, seborrheic dermatitis, and atopic dermatitis. Treatment strategies are also discussed. [Pediatr Ann. 2019;48(1):e16-e22.]."
3,3,Diaper Dermatitis,,,Anthonella B. Benitez Ojeda,http://www.ncbi.nlm.nih.gov/books/nbk559067/,"Diaper dermatitis is an inflammatory reaction of the skin of the perineal and perianal areas (diaper area). It is the most common skin disorder seen in young infants. It is most commonly caused by irritation of the skin; however, there are other causes such as atopic dermatitis and seborrheic dermatitis that can present as a diaper rash. Another common reason is infection with Candida albicans, which can be primary or secondary. Diaper dermatitis is usually a mild and self-limited condition that requires minimal intervention. Some of the management approaches include skincare, adequate hygiene, and avoidance of any irritant substance."
4,4,Differential diagnoses of diaper dermatitis,2018,Pediatr Dermatol,Regina Fölster-Holst,https://doi.org/10.1111/pde.13484,"Diaper dermatitis is the most common contact eczema present in early childhood. The main cause is an irritant reaction to urine and feces, which is facilitated by the occlusive conditions under the diaper, leading to hyperhydration of the stratum corneum (diaper dermatitis). In addition, diaper pressure and friction can increase the risk of skin inflammation, which also opens the skin up to other irritant agents, allergens, and infectious agents, such as candida albicans. However, a variety of diseases are associated with inflammation of the skin in the diaper region, therefore the term ""diaper dermatitis"" is merely descriptive and does not reflect anything about the etiopathogenesis. The term diaper dermatitis refers only to an inflammation in the diapering area and should not be automatically equated with reactions to diapers. Making the correct diagnosis requires a thorough examination of the skin in its entirety and a detailed report of the patient's medical and family history. Once a specific pattern is identified, a precise diagnosis, and an appropriate therapy, can be determined."
5,5,Prevention and treatment of diaper dermatitis,2018,Pediatr Dermatol,Ulrike Blume-Peytavi,https://doi.org/10.1111/pde.13495,"Diaper dermatitis (DD) is one of the most common skin conditions that infants suffer from and their caregivers manage in the first months post-birth. As such, questions of effective prevention and treatment of the condition often arise. Nonmedical skincare practices that support healthy skin barrier function can prevent DD manifestation or alleviate the condition in many cases. The usage of barrier emollients and improved diaper technology contributes to keeping moisture and irritants away from an infant's delicate skin. This paper addresses facts behind commonly asked questions from caregivers regarding DD and discusses effective measures to prevent and treat the condition."
6,6,Incontinence-associated dermatitis and pressure ulcers in geriatric patients,2015,G Ital Dermatol Venereol,J Kottner,,"The key characteristics of geriatric patients are advanced age, multimorbidity, a decrease of psychical performance and care dependency. In addition, advanced age, chronic and acute diseases and treatments (e.g. polypharmacy) lead, either directly or indirectly, to a wide range of skin and tissue problems. Incontinence-associated dermatitis and pressure ulcers (PUs) belong to the most prevalent in geriatric settings. Prolonged exposure of the skin to urine and/or stool can cause an irritant contact dermatitis. Skin surface 'wetness', increased skin surface pH, digestive intestinal enzymes, repeated skin cleansing activities, and a possible occlusive environment contribute to irritation and inflammation. Prevention and treatment includes activities to maintain and to enhance continence and to limit, to reduce exposure of the skin to urine and stool, and to promote healing and reepithelialisation. In frail aged skin, it is recommended to use incontinence products with smooth and breathable materials with maximum absorption capacity. Immediate skin cleansing after soiling using mild cleansers and protective and caring leave-on products are recommended. PUs are localized injuries to the skin and/or underlying tissue caused by sustained deformations of skin and underlying soft tissues. PUs management includes risk assessment, repositioning and mobilization, and the use of appropriate support surfaces. Patients must be never positioned directly on an existing PU. Especially at end of life, the PU closure and wound healing may not be the primary therapeutic goal."
7,7,Effectiveness of topical skin products in the treatment and prevention of incontinence-associated dermatitis: a systematic review,2017,JBI Database System Rev Implement Rep,Priscilla Pather,https://doi.org/10.11124/jbisrir-2016-003015,"Background: Incontinence-associated dermatitis (IAD) is inflammation of the skin resulting from repeated contact with urine and/or feces. It causes pain, redness, swelling and excoriation, and may lead to complications such as fungal skin infections and pressure injuries. It is important to prevent and treat IAD to avoid complications and improve patient outcomes. A number of products are available for protecting skin, but evidence on their effectiveness is limited.
Objectives: The current review aimed to establish the effectiveness of topical skin products in reducing the occurrence and/or severity of IAD.
Inclusion criteria types of participants: Adult patients over the age of 18 years with incontinence and/or diarrhea.
Types of intervention: Topical skin products as individual interventions or part of a skin care regimen.
Types of studies: Both published and unpublished study designs including randomized controlled trials, non-randomized controlled trials, quasi-experimental, before and after, prospective and retrospective cohort, case-control, analytical cross-sectional, descriptive study designs including case series, individual case reports and descriptive cross-sectional studies across all care settings for inclusion.
Outcomes: The primary outcome of interest was the absence or non-development, reduction or resolution, new development or increase in the occurrence of IAD or the increase in severity of IAD. The secondary outcome was any adverse effect caused by the skin care products used.
Search strategy: A three-step search strategy to find both published and unpublished papers was utilized in this review. Studies were limited to those published in English from 1980 to 2016.
Methodological quality: Papers selected were assessed by two independent reviewers using the Joanna Briggs Institute Meta-Analysis of Statistics Assessment and Review Instrument (JBI-MAStARI).
Data extraction: Data were extracted using the standardized data extraction tool in JBI-MAStARI. The data extracted included specific details about the interventions, populations, study methods and outcomes.
Data synthesis: Studies were assessed for methodological quality and statistical significance to determine validity and generalizability of study results. It was not possible to pool studies to conduct meta-analysis or test for heterogeneity.
Results: There were a limited number of clinical trials that compared products for efficacy in preventing and treating IAD. Assessment tools and severity scores used to measure skin damage outcomes were dissimilar and prone to subjectivity. It was difficult to ascertain superiority of any individual product.
Conclusion: Information on barrier protective efficacy, side effects and cost can be valuable to both clinicians and care providers. More randomized controlled trials on product effectiveness for prevention and treatment of IAD are highly recommended."
8,8,Prevention of diaper dermatitis in infants--a literature review,2014,Pediatr Dermatol,Ulrike Blume-Peytavi,https://doi.org/10.1111/pde.12348,"Diaper dermatitis (DD) is one of the most common skin conditions in neonates and infants, with a peak between the ages of 9 and 12 months. Appropriate skin care practices that support skin barrier function and protect the buttocks skin from urine and feces are supposed to be effective in the prevention of DD. Despite many recommendations for parents and caregivers on proper diaper skin care, there is no up-to-date synthesis of the available evidence to develop recommendations for DD prevention practice. Therefore we performed a systematic literature review on the efficacy of nonmedical skin care practices on the diapered area of healthy, full-term infants ages 0 to 24 months. We identified 13 studies covering skin care practices such as cleansing, bathing, and application of topical products. DD prevalence and incidence and physiologic skin parameters were used as efficacy parameters. The results of this review indicate that cleansing of the diaper area using baby wipes or water and a washcloth have comparable effects on diapered skin. Bathing with a liquid baby cleanser twice weekly seems comparable with water alone. The application of ointments containing zinc oxide or petrolatum with or without vitamin A seems to have comparable effects on DD severity. There seems to be no information on whether single skin care practices such as cleansing, bathing, and application of topical preparations can prevent DD. High-quality randomized clinical trials are needed to show the effectiveness of skin care practices for controlling and preventing DD."
9,9,"A decade of research on Incontinence-Associated Dermatitis (IAD): Evidence, knowledge gaps and next steps",2017,J Tissue Viability,Dimitri Beeckman,https://doi.org/10.1016/j.jtv.2016.02.004,"Background: Incontinence-Associated Dermatitis (IAD) is one of the clinical manifestations of Moisture- Associated Skin Damage (MASD). IAD is a common problem in aged patients with fecal and/or urinary incontinence.
Aim: Update about IAD terminology, etiology, epidemiology, observation, prevention, and treatment.
Methods: Integrative review.
Results: The lack of an ICD-10 code and an internationally validated and standardized method for IAD data collection contribute to a variation in epidemiological data. Frequent episodes of incontinence (especially fecal), occlusive containment products, poor skin condition, reduced mobility, diminished cognitive awareness, inability to perform personal hygiene, pain, pyrexia, certain medications (antibiotics, immunosuppressants), poor nutritional status, and critical illness are associated with IAD. Correctly diagnosing IAD and distinguish it from pressure ulcers is difficult. Even though the clinical presentation of partial thickness pressure ulcers and IAD is similar, the underlying etiologic factors differ. However, incontinence and IAD were found to be risk factors for pressure ulcer development. IAD management should essentially focus on skin cleansing to remove dirt, debris and microorganisms; skin moisturization to repair or augment the skin's barrier; and the application of a skin barrier product to prevent skin breakdown by providing an impermeable or semi-permeable barrier on the skin. The body of evidence is still limited, but growing since the last decade.
Conclusion: Incontinence causes disruptions of the skin barrier function and leads to superficial skin damage. Macerated skin and superficial skin changes due to incontinence are associated with pressure ulcer development. Skin maceration, chemical irritation, and physical irritation should be targeted to effectively prevent and treat IAD."
