,title,journal,authors,links,abstract
0,Randomised placebo-controlled trial of dietary glutamine supplements for postinfectious irritable bowel syndrome,Gut,QiQi Zhou,https://doi.org/10.1136/gutjnl-2017-315136,"Background: More effective treatments are needed for patients with postinfectious, diarrhoea-predominant, irritable bowel syndrome (IBS-D). Accordingly, we conducted a randomised, double-blind, placebo-controlled, 8-week-long trial to assess the efficacy and safety of oral glutamine therapy in patients who developed IBS-D with increased intestinal permeability following an enteric infection.
Methods: Eligible adults were randomised to glutamine (5 g/t.i.d.) or placebo for 8 weeks. The primary end point was a reduction of ??0 points on the Irritable Bowel Syndrome Severity Scoring System (IBS-SS). Secondary endpoints included: raw IBS-SS scores, changes in daily bowel movement frequency, stool form (Bristol Stool Scale) and intestinal permeability.
Results: Fifty-four glutamine and 52 placebo subjects completed the 8-week study. The primary endpoint occurred in 43 (79.6%) in the glutamine group and 3 (5.8%) in the placebo group (a 14-fold difference). Glutamine also reduced all secondary endpoint means: IBS-SS score at 8 weeks (301 vs 181, p<0.0001), daily bowel movement frequency (5.4 vs 2.9±1.0, p<0.0001), Bristol Stool Scale (6.5 vs 3.9, p<0.0001) and intestinal permeability (0.11 vs 0.05; p<0.0001). 'Intestinal hyperpermeability' (elevated urinary lactulose/mannitol ratios) was normalised in the glutamine but not the control group. Adverse events and rates of study-drug discontinuation were low and similar in the two groups. No serious adverse events were observed.
Conclusions: In patients with IBS-D with intestinal hyperpermeability following an enteric infection, oral dietary glutamine supplements dramatically and safely reduced all major IBS-related endpoints. Large randomised clinical trials (RCTs) should now be done to validate these findings, assess quality of life benefits and explore pharmacological mechanisms.
Trial registration number: NCT01414244; Results."
1,"Effect of Repeated Consumption of Partially Hydrolyzed Guar Gum on Fecal Characteristics and Gut Microbiota: A Randomized, Double-Blind, Placebo-Controlled, and Parallel-Group Clinical Trial",Nutrients,Zenta Yasukawa,https://doi.org/10.3390/nu11092170,"Partially hydrolyzed guar gum (PHGG) is a water-soluble dietary fiber and is used in solid and liquid food to regulate gut function. The aim of this study was to investigate effects of PHGG on bowel movements (stool form and frequency), plasma bile acids, quality of life, and gut microbiota of healthy volunteers with a tendency toward diarrhea, i.e., irritable bowel syndrome diarrhea (IBS-D)-like symptoms. A randomized, double-blind, placebo-controlled, and parallel trial was performed on 44 healthy volunteers (22 males, 22 females, 41.9 ± 6.3 years old (average ± SD)) with minimum 7 bowel movements every week, wherein above 50% of their stool was between the Bristol stool scale (BSS) value of 5 and 6. Intake of the PHGG for 3 months significantly improved stool form, evaluated using BSS, and had no effects on stool frequency. BSS was significantly normalized in the group consuming the PHGG compared with the placebo. Comprehensive fecal microbiome analysis by the 16S rRNA-sequence method detected significant changes in the ratio of some bacteria, such as an increase of Bifidobacterium (p < 0.05) in the PHGG group. Our results suggest that intake of PHGG improves human stool form via regulating intestinal microbiota."
2,"Stool consistency is strongly associated with gut microbiota richness and composition, enterotypes and bacterial growth rates",Gut,Doris Vandeputte,https://doi.org/10.1136/gutjnl-2015-309618,"Objective: The assessment of potentially confounding factors affecting colon microbiota composition is essential to the identification of robust microbiome based disease markers. Here, we investigate the link between gut microbiota variation and stool consistency using Bristol Stool Scale classification, which reflects faecal water content and activity, and is considered a proxy for intestinal colon transit time.
Design: Through 16S rDNA Illumina profiling of faecal samples of 53 healthy women, we evaluated associations between microbiome richness, Bacteroidetes:Firmicutes ratio, enterotypes, and genus abundance with self-reported, Bristol Stool Scale-based stool consistency. Each sample's microbiota growth potential was calculated to test whether transit time acts as a selective force on gut bacterial growth rates.
Results: Stool consistency strongly correlates with all known major microbiome markers. It is negatively correlated with species richness, positively associated to the Bacteroidetes:Firmicutes ratio, and linked to Akkermansia and Methanobrevibacter abundance. Enterotypes are distinctly distributed over the BSS-scores. Based on the correlations between microbiota growth potential and stool consistency scores within both enterotypes, we hypothesise that accelerated transit contributes to colon ecosystem differentiation. While shorter transit times can be linked to increased abundance of fast growing species in Ruminococcaceae-Bacteroides samples, hinting to a washout avoidance strategy of faster replication, this trend is absent in Prevotella-enterotyped individuals. Within this enterotype adherence to host tissue therefore appears to be a more likely bacterial strategy to cope with washout.
Conclusions: The strength of the associations between stool consistency and species richness, enterotypes and community composition emphasises the crucial importance of stool consistency assessment in gut metagenome-wide association studies."
3,The Effect of Abdominal Massage on Constipation in the Elderly Residing in Rest Homes,Gastroenterol Nurs,Kıvan Çevik,https://doi.org/10.1097/sga.0000000000000343,"Constipation is a health problem commonly seen in the elderly. In the present study, the effect of abdominal massage on constipation in the elderly was examined. The study sample consisted of 22 elderly people residing in a nursing home in the province of Manisa who were suffering from constipation in June 2014 to February 2015. The following were used to collect data: a case identification form; the Rome III Functional Constipation Diagnosis Criteria Form; the Bristol Stool Scale, consisting of the Recall Bias and Visual Scale Analog; and the Standard Diary Constipation Monitoring Form. The comparison of the mean scores obtained before, during, and after the implementation of abdominal massage in the elderly revealed that the number of bowel movements, stool weight, and stool consistency scores increased during and after the implementation. The differences between the mean intra- and postimplementation scores in terms of stool weight and between the pre- and postimplementation mean scores in terms of stool consistency were not statistically significant. There was a statistically significant difference between straining scores except for those obtained during intra- and postimplementation application. It was determined that abdominal massage increased the number of bowel movements, stool weight, and stool consistency, decreased the mean scores for straining, and decreased inability to completely empty the bowels (except on the implementation days)."
4,Efficacy and Safety of Eluxadoline in Patients With Irritable Bowel Syndrome With Diarrhea Who Report Inadequate Symptom Control With Loperamide: RELIEF Phase 4 Study,Am J Gastroenterol,Darren M Brenner,https://doi.org/10.14309/ajg.0000000000000327,"Objectives: Irritable bowel syndrome with diarrhea (IBS-D) is a functional gastrointestinal disorder with limited effective treatment options. We evaluated the efficacy and safety of eluxadoline in patients with IBS-D who reported inadequate symptom control with prior loperamide.
Methods: Three hundred forty-six adults with IBS-D (Rome III criteria) were randomly assigned to placebo or eluxadoline 100 mg twice daily for 12 weeks. Patients recorded daily IBS-D symptoms, including worst abdominal pain (WAP) and stool consistency (through Bristol Stool Scale). The primary endpoint was proportion of composite responders, defined as patients who met daily composite response criteria (??0% WAP improvement and <5 Bristol Stool Scale score) for at least 50% of treatment days, and recorded ??0 days of diary entries over the 12-week period.
Results: Over 12 weeks, a significantly greater proportion of eluxadoline patients achieved the primary composite responder endpoint compared to placebo (22.7% vs 10.3%, P = 0.002), and component endpoints of improvements in stool consistency (27.9% vs 16.7%, P = 0.01) and WAP (43.6% vs 31.0%, P = 0.02). Additionally, a greater proportion of eluxadoline patients met the composite responder endpoint assessed at monthly intervals compared to placebo (weeks 1-4: 14.0% vs 6.9%, P = 0.03; weeks 5-8: 26.7% vs 14.9%, P = 0.006; weeks 9-12: 30.8% vs 16.7%, P = 0.002). Rates of adverse events were comparable in both groups (37.4% vs 35.3%); no treatment-related serious adverse event, cases of sphincter of Oddi spasm, or pancreatitis were reported.
Discussion: Eluxadoline appears safe and effective for treating IBS-D symptoms in patients with an intact gallbladder reporting inadequate relief with prior loperamide use."
5,What to Do and What Not to Do in the Management of Opioid-Induced Constipation: A Choosing Wisely Report,Pain Ther,Domenico Alvaro,https://doi.org/10.1007/s40122-020-00195-z,"Introduction: Despite the essential utility of opioids for the clinical management of pain, opioid-induced constipation (OIC) remains an important obstacle in clinical practice. In patients, OIC hinders treatment compliance and has negative effects on quality of life. From a clinician perspective, the diagnosis and management of OIC are hampered by the absence of a clear, universal diagnostic definition across disciplines and a lack of standardization in OIC treatment and assessment.
Methods: A multidisciplinary panel of physician experts who treat OIC was assembled to identify a list of ten corrective actions-five ""things to do"" and five ""things not to do""-for the diagnosis and management of OIC, utilizing the Choosing Wisely methodology.
Results: The final list of corrective actions to improve the diagnosis and clinical management of OIC emphasized a need for: (i) better physician and patient education regarding OIC; (ii) systematic use of diagnostically validated approaches to OIC diagnosis and assessment (i.e., Rome IV criteria and Bristol Stool Scale, respectively) across various medical contexts; and (iii) awareness about appropriate, evidence-based treatments for OIC including available peripheral mu-opioid receptor antagonists (PAMORAs).
Conclusions: Physicians who prescribe long-term opioids should be forthcoming with patients about the possibility of OIC and be adequately versed in the most recent guideline recommendations for its management."
6,Clinical trial: the effects of a trans-galactooligosaccharide prebiotic on faecal microbiota and symptoms in irritable bowel syndrome,Aliment Pharmacol Ther,D B A Silk,https://doi.org/10.1111/j.1365-2036.2008.03911.x,"Background: Gut microflora-mucosal interactions may be involved in the pathogenesis of irritable bowel syndrome (IBS).
Aim: To investigate the efficacy of a novel prebiotic trans-galactooligosaccharide in changing the colonic microflora and improve the symptoms in IBS sufferers.
Methods: In all, 44 patients with Rome II positive IBS completed a 12-week single centre parallel crossover controlled clinical trial. Patients were randomized to receive either 3.5 g/d prebiotic, 7 g/d prebiotic or 7 g/d placebo. IBS symptoms were monitored weekly and scored according to a 7-point Likert scale. Changes in faecal microflora, stool frequency and form (Bristol stool scale) subjective global assessment (SGA), anxiety and depression and QOL scores were also monitored.
Results: The prebiotic significantly enhanced faecal bifidobacteria (3.5 g/d P < 0.005; 7 g/d P < 0.001). Placebo was without effect on the clinical parameters monitored, while the prebiotic at 3.5 g/d significantly changed stool consistency (P < 0.05), improved flatulence (P < 0.05) bloating (P < 0.05), composite score of symptoms (P < 0.05) and SGA (P < 0.05). The prebiotic at 7 g/d significantly improved SGA (P < 0.05) and anxiety scores (P < 0.05).
Conclusion: The galactooligosaccharide acted as a prebiotic in specifically stimulating gut bifidobacteria in IBS patients and is effective in alleviating symptoms. These findings suggest that the prebiotic has potential as a therapeutic agent in IBS."
7,"Determining Risk Factors to Develop a Predictive Model of Incontinence-associated Dermatitis Among Critically Ill Patients with Fecal Incontinence: A Prospective, Quantitative Study",Wound Manag Prev,Li Wei,,"Critically ill patients with fecal incontinence are at high risk of developing incontinence-associated dermatitis (IAD). Scientific prediction and prevention of IAD are essential.
Purpose: The purpose of this study was to determine the risk factors for IAD among critically ill patients with fecal incontinence. Based on this information, a predictive risk assessment model was developed to provide research evidence for IAD prevention.
Methods: A prospective study was conducted from October 2016 to December 2017. Convenience sampling was used to recruit patients with fecal incontinence treated in intensive care units (ICUs) at Tianjin Medical University General Hospital in China. Trained nurses collected demographic data (age, gender, and ICU type), data related to fecal incontinence (Perineal Assessment Tool [PAT] scores, bowel movement frequency, and stool traits per the Bristol Stool Scale), and clinical data (length of ICU hospitalization, body temperature, diabetes history, hypertension history, consciousness, nutrition support, oxygen supply, number of antibiotic species, sedative use, and albumin levels) from participants and their medical records. The PAT was used to assess patient risk of developing IAD, and the Bristol Stool Scale was used to assess patient stool traits. Names were coded anonymously, and data were entered from paper-and-pencil questionnaires into a software program for statistical analysis. Univariate analysis and multivariate logistic regression were performed to identify risk factors for IAD. A predictive risk factor model was established using a receiver operating characteristic curve.
Results: Among 266 critically ill patients with fecal incontinence (182 male, 84 female; mean age 64.18 ± 17.10), IAD incidence was 65.4%. The use of sedative drugs, coma status, higher PAT score, more frequent bowel movements, and loose stool were found to be independent risk factors for IAD (P <.05). The subsequent risk factor predictive model had a sensitivity and specificity of 99.4% and 96.7%, respectively, and the agreement rate was 98.1%.
Conclusion: The identified risk factors and subsequent predictive model may contribute to timely identification and quantitative risk assessment of IAD among critically ill patients. Additional quantitative research could provide a scientific basis for the development of specific preventive interventions."
8,"Differences in gut microbiota associated with age, sex, and stool consistency in healthy Japanese subjects",J Gastroenterol,Tomohisa Takagi,https://doi.org/10.1007/s00535-018-1488-5,"Background: Human gut microbiota is involved in host health and disease development. Investigations of age-related and sex-related alterations in gut microbiota are limited, and the association between stool consistency and gut microbiota has not been fully investigated. We investigated gut microbiota differences related to age, sex, and stool consistency in healthy Japanese subjects.
Methods: Two-hundred and seventy-seven healthy Japanese subjects aged 20-89 years were enrolled. Fecal samples were obtained to analyze the gut microbiome. We evaluated the association between stool consistency [Bristol stool scale (BSS)] and gut microbiota.
Results: Although there were significant differences in the microbial structure between males and females, the α-diversity of gut microbiota showed no difference between males and females or among age groups. There were significant increases in genera Prevotella, Megamonas, Fusobacterium, and Megasphaera and Bifidobacterium, Ruminococcus, and Akkermansia in males and females, respectively. The ratio of hard stools (BSS types 1 and 2) was higher in females; the ratio of loose stools (BSS type 6) was higher in males. No younger male had BSS type 1 or type 2. Fusobacterium in males was significantly higher in the loose consistency group, and Oscillospira was significantly higher in the hard consistency group in males; Campylobacter, SMB53, and Turicibacter were significantly higher in the hard consistency group in females.
Conclusions: Several changes in gut microbiota were associated with age and sex. Stool consistency and gut microbiota associations emphasized the importance of stool consistency assessments to understand intestinal function."
9,"Efficacy and safety of acupuncture for functional constipation: a randomised, sham-controlled pilot trial",BMC Complement Altern Med,Hye-Yoon Lee,https://doi.org/10.1186/s12906-018-2243-4,"Background: The prevalence of functional constipation (FC) is 3-27%, and FC has been reported to cause discomfort in daily life and various complications. The treatment for FC depends on laxatives, and thus, effective and non-toxic alternative treatments are needed.
Methods: We conducted a randomised, sham-controlled parallel-design, pilot trial. Participants with FC were randomly assigned to either the real acupuncture (RA) or sham acupuncture (SA) group. The RA consisted of eight fixed acupuncture points (bilateral ST25, ST27, BL52 and BL25) and four additional points targeted to the individual based on Traditional Korean medicine (TKM). SA consisted of shallow acupuncture insertion at 12 non-acupuncture points. Twelve sessions were provided over 4 weeks. The outcome measures were weekly defecation frequency (DF), spontaneous complete bowel movement (SCBM), Bristol stool scale (BSS) score and constipation assessment scale (CAS) score. The participants were followed for 4 weeks after the treatment.
Results: Thirty participants were enrolled (15:15). The mean DF were 5.86 ± 5.62, 5.43 ± 3.39 and 5.79 ± 3.64 in the RA group and 3.73 ± 1.62, 5.00 ± 1.77 and 5.40 ± 1.96 in the SA group at weeks 1, 5, and 9, respectively. The increases in weekly SCBMs were 2.50 ± 3.86 and 2.71 ± 4.01 with RA and 2.33 ± 2.74 and 1.93 ± 2.25 with SA at weeks 5 and 9, respectively (mean difference [MD] 0.78). The BSS scores were 0.57 ± 1.72 and 1.09 ± 1.30 with RA and 0.15 ± 1.06 and 0.14 ± 0.88 with SA at weeks 5 and 9, respectively (MD 0.95). The CAS score changes were - 3.21 ± 2.91 and - 3.50 ± 3.98 with RA and - 2.67 + ±2.82 and - 2.87 ± 2.95 with SA at weeks 5 and 9, respectively. Greater improvements were observed in subgroup analysis of participants with hard stool. The numbers of participants who developed adverse events (AEs) were equal in both groups (four in each group), and the AEs were not directly related to the intervention.
Conclusions: This clinical trial shows feasibility with minor modifications to the primary outcome measure and comparator. Acupuncture showed clinically meaningful improvements in terms of SCBMs occurring more than 3 times per week and in these improvements being maintained for 4 weeks after treatment completion. As this is a pilot trial, future studies are warranted to confirm the efficacy and safety.
Trial registration: KCT0000926 (Registered on 14 November 2013)."
