,Keyword: ,((hypertension[Title]) AND (BMI[Title/Abstract])) AND (incidence[Title/Abstract]) AND change,,,,
,title,year,journal,authors,links,abstract
0,Body fat change and 8-year incidence of hypertension: Korean Genome and Epidemiology Study,2019 Dec;21(12):1849-1857.,J Clin Hypertens (Greenwich),Sung-Bum Lee,https://doi.org/10.1111/jch.13723,"Hypertension is strongly correlated with an increased risk of cardiovascular events. Recent studies have demonstrated that body fat percentage (BF%) is associated with cardiometabolic risk factors. 
The aim of this study was to investigate the association between a change in BF% and body mass index (BMI) and the incidence of new-onset hypertension in a normotensive Korean cohort. At baseline (2001-2002), 8848 participants aged 40-70 years were recruited for the study; follow-up surveys were completed in the year 2012. A total of 3902 adults (1866 men and 2036 women) were included in the final analysis. These subjects were divided into quartile groups according to changes in BF% and were followed for 8.4 years to monitor for the development of hypertension. A Poisson regression model was used to evaluate the relative risk (RR) for hypertension according to BF% change quartile. Additionally, we also stratified participants into four groups according to BMI change levels and body fat change levels. Finally, we compared two factors, BF% change, and BMI change, to determine which is more predictive of incident hypertension. In an adjusted model, compared with the lowest BF% quartile group, the risk of new-onset hypertension significantly increased with BF% change: Changes in risk were 0%-2.0% for quartile 3 subjects (RR: 1.32 [1.06-1.63]) and 2.0%-8.9% for quartile 4 participants (RR: 1.78 [1.43-2.19]). We also revealed that the RR for new-onset hypertension was 1.81 (95% CI: 1.47-2.21) for quartile 4 group subjects, compared with subjects in quartile 1 (change in BMI -6.80 to -0.86% [kg/m2 ]). Body fat gain and BMI increase were predictors of hypertension in this community-based Korean cohort."
1,Change in Body Mass Index and Its Impact on Incidence of Hypertension in 18-65-Year-Old Chinese Adults,2016 Feb 25;13(3):257.,Int J Environ Res Public Health,Qian Ren,https://doi.org/10.3390/ijerph13030257,"Aims: This study assessed change in body mass index (BMI) and its impact on the incidence of hypertension in 18- to 65-year-old Chinese adults.

Methods: Two waves of data were collected in 2006 and 2011 by the China Health and Nutrition Survey (CHNS) with samples drawn from nine provinces in China. The logistic regression model was used to examine the association between change in BMI and the incidence of hypertension, and odds ratio (OR) and 95% confident interval (95% CI) were calculated.

Results: The risk of incident hypertension increased as the quartile of the BMI difference value (D-value) increased in men (OR and 95% CI for the highest quartile vs. the lowest quartile: 2.303, 1.560-3.401, respectively, p for trend < 0.001) and women (OR and 95% CI for the highest quartile vs. the lowest quartile: 1.745, 1.199-2.540, respectively, p for trend = 0.004). Compared with non-overweight subjects in 2011, the ORs of incident hypertension were all significantly higher for overweight subjects, regardless of their overweight status at baseline (p < 0.05).

Conclusions: In conclusion, the results from this study provide unequivocal evidence that prevention of weight gain is likely to have a great impact on the incidence of hypertension in Chinese adults."
2,"The role of body weight, fat distribution and weight change in ethnic differences in the 9-year incidence of hypertension",2014 May;32(5):990-6; discussion 996-7.,J Hypertens,Laura R Grootveld,https://doi.org/10.1097/hjh.0000000000000135,"Objective: To investigate the role of body composition (body weight, fat distribution and weight change over time) in ethnic differences in the incidence of hypertension in an ethnic Dutch, South Asian Surinamese and African Surinamese background population living in the Netherlands.

Methods: We included 361 participants without hypertension at baseline (147 ethnic Dutch, 82 South Asian Surinamese, 132 African Surinamese), aged 35-60 years, in whom anthropometric measurements and blood pressures were measured at baseline and after mean 9 years of follow-up. Data were analysed using logistic regression analyses, with hypertension at follow up as a dependent variable.

Results: Body weight, fat distribution and weight gain were positively associated with the risk of developing hypertension; these associations did not statistically significantly differ between ethnic groups [odds ratios (ORs), 95% confidence interval (95% CI) per SD: BMI 1.5 (1.2-2.0); waist circumference 1.5 (1.2-1.9); waist to hip ratio (WHR) 1.4 (1.1-1.9), weight gain of 1-2.9 kg/m 1.8 (0.9-3.8)]. As compared with Dutch, a higher incidence of hypertension was found among South Asian Surinamese [OR 2.6 (1.4-4.8)] and in particular among African Surinamese [OR 3.1 (1.76-5.30)]. Among South Asian Surinamese, adjustment for WHR attenuated the OR the most [OR 1.9 (1.0-3.7)]; among African Surinamese, the strongest effect was observed for adjustment by BMI and WHR simultaneously [OR 2.5 (1.4-4.4)].

Conclusion: The ethnic differences in the incidence of hypertension among a middle-aged group with a Dutch, South Asian Surinamese and African Surinamese background were partly explained by body composition. This suggests that other factors may be involved, including genetic factors or unidentified other determinants."
3,The correlation between the MRI-evaluated ectopic fat accumulation and the incidence of diabetes mellitus and hypertension depends on body mass index and waist circumference ratio,2020 Jan 27;15(1):e0226889.,PLoS One,Joanna Pie??kowska,https://doi.org/10.1371/journal.pone.0226889,"The widespread presence of overweight and obesity increases with every decade, and the number of people with body mass index (BMI) >30 kg/m2 has doubled in the last 30 years. 
The aim of the study is to assess the correlation between MRI-evaluated ectopic fat accumulation in pancreas, skeletal muscles and liver and the incidence of type 2 diabetes and hypertension, depending on BMI and waist circumference ratio. This prospective study included 267 consecutive patients who were referred to abdominal MRI and underwent a standard clinical assessment with BMI and waist circumference ratio calculation. Ectopic fat accumulation in pancreas, skeletal muscles and liver was evaluated in magnetic resonance imaging using the fat-water separated Dixon imaging. There were statistically significant differences in mean steatosis of all assessed organs in the group of patients with type 2 diabetes or hypertension in comparison to the non-diabetic group as well as to the group without hypertension. It has been observed that pancreas and skeletal muscles are more susceptible to fat accumulation than liver. According to our results, there is a relation between the fat content in muscles, pancreas and liver, the incidence of type 2 diabetes and hypertension and also body mass index and waist circumference ratio. We believe that future studies should aim to determine whether the use of fat content measurement in certain organs could be used as a biomarker that can enable early detection of reversible metabolic changes, as well as their subsequent monitoring."
4,Effect of long-term body weight change on the incidence of hypertension in Japanese men and women,2004 Mar;28(3):391-5.,Int J Obes Relat Metab Disord,J S Lee,https://doi.org/10.1038/sj.ijo.0802568,"Objective: To elucidate the effect of long-term body weight changes on the subsequent incidence of hypertension in a large sample of community-residing Japanese males and females.
Methods: Subjects were 3431 men and 2409 women, between 30 and 69 y old, who underwent annual periodic health examinations from 1987 (baseline year) until 1996. They were free from hypertension during the first 5 y from the baseline year. Body weight change index between 1987 and 1992 was the body mass index (BMI) (weight (kg) over height (m) squared) slope. Multiple logistic analysis was performed to assess the effect of BMI slope on the incidence of hypertension during the subsequent 5 ys (1992-1996), while controlling for baseline age, BMI, systolic blood pressure (SBP), diastolic blood pressure (DBP) and smoking habit.
Results: During the first 5 y, the prevalence of overweight males (25.0< or =BMI<30.0) significantly increased from 18.4 to 23.5% in males and from 10.4 to 14.1% in females. In all, 11.7% of the males and 8.9% of the females developed hypertension between 1992 and 1996. Those who developed hypertension had a significantly higher baseline age, BMI, SBP and DBP both in males and females. The baseline smoking rate among the females who developed hypertension was significantly lower than those who did not develop the hypertension. After adjustment of these covariables by the multiple logistic analysis, the BMI slope was positively correlated with the incidence of hypertension both in females and males significantly.
Conclusions: Weight gain increased the risk of developing hypertension independent of age and blood pressure level among relatively lean Japanese men and women."
5,Left ventricular mass and incident out-of-office hypertension in a general population,2020 Apr;38(4):633-640.,J Hypertens,Cesare Cuspidi,https://doi.org/10.1097/hjh.0000000000002313,"Aim: Findings regarding the association of left ventricular mass (LVM) and new-onset hypertension are based on blood pressure measured in the office. We sought to assess the value of LVM in predicting in-office and out-of-office incident hypertension in members of the general population enrolled in the Pressioni Monitorate E Loro Associazioni study.

Methods: The study included participants with normal office (n = 792), home (n = 714) and 24-h (n = 825) ambulatory blood pressure (ABP) at baseline evaluation who had a readable echocardiogram at entry and at the end of follow-up. Each normotensive group was divided into quartiles of LVM indexed (LVMI) to height.

Results: Over a follow-up of 148 months cumulative incidence of new office, home and 24-h ABP hypertension were 35.9, 30.7 and 36.1%, respectively. In fully adjusted models (including age, sex, BMI change during follow-up, baseline serum glucose, creatinine, total cholesterol office, home and 24-h SBP and DBP). higher LVMI values (i.e. the highest vs. the lowest quartile) were independently associated with an increased risk of home [odds ratio (OR) = 2.14, 95% confidence interval (CI) 1.21-3.77, P = 0.008] and 24-h ABP hypertension (OR = 1.70, 95% CI 1.05-2.76, P = 0.03). This was not the case for new-onset office hypertension (OR = 1.61, 95% CI 0.94-2.74, P = 0.07).

Conclusion: Our study provides the first evidence that in normotensive individuals the magnitude of LVMI is independently associated with the risk of incident out-of-office hypertension."
6,"Metabolic syndrome, hypertension, and nervous system injury: Epidemiological correlates",2017;39(1):8-16.,Clin Exp Hypertens,Giovanna Ricci,https://doi.org/10.1080/10641963.2016.1210629,"Metabolic syndrome (MetS) is a common and complex disorder combining hypertension, obesity, dyslipidemia, and insulin resistance. MetS represents a risk factor for changes in cognitive functions in older age, and several studies have suggested that MetS may be linked to dementia. This article reviews the main evidences about the relationship between MetS and neurodegenerative disease. Starting from an epidemiological point of view, the article analyzes medico-social aspects related to MetS, considering the reduction of work capacity and the condition of disability that it involves. Some authors affirm that on the basis of current Italian legislation, it is possible to consider the syndrome as a disability. This is because all the diseases that make up MetS are high-risk clinical pathological conditions. For these reasons, a joint action is required to contain the incidence of MetS, the high social costs, and the loss of productivity related to the syndrome. In conclusion, healthcare initiatives could be adopted in order to increase the understanding of the pathogenic contributions of each element on MetS and how they can be modified. These actions will be useful to reduce healthcare costs and can lead to more effective prevention of metabolic disease, thus promoting good health.
Abbreviations: MetS: Metabolic syndrome; WHO: World Health Organization; CVD: cerebrovascular diseases; AD: Alzheimer's Disease; VaD: Vascular Dementia; IDF: International Diabetes Federation; T2DM: type 2 diabetes mellitus; CAD: coronary artery disease; MCI: mild cognitive impairment; NCDs: Non Communicable Diseases; BMI: Body Mass Index; ICIDH: International classification of impairments, disabilities and handicaps."
7,Association between body mass index changes and short- and long-term outcomes of hypertension in a Chinese rural cohort study,2020 Sep;34(8):593-601.,J Hum Hypertens,Zihui Gao,https://doi.org/10.1038/s41371-019-0276-x,"This study aimed to investigate the effect of body mass index (BMI) changes on hypertension among rural areas of China. A population-based sample of 13,263 and 5944 rural Chinese people aged >=35 years and without hypertension at baseline was included in our analysis of BMI changes (from (2004-2006) to 2008) and short- and long-term outcomes of hypertension (from 2008 to 2010 and 2010 to 2017). The participants were divided into four groups by a comprehensive cross-sectional combination according to baseline BMI (18.5-24 vs. ???24 kg/m2) and follow-up changes (decreased vs. increased). Adjusted Cox proportional hazards models were used to estimate hazard ratios (HRs) and 95% confidence intervals (95% CIs). During a median follow-up period of 4.8 (short-term) and 11.7 (long-term) years, 2299 (17.33%) and 2020 (33.98%) participants developed hypertension, respectively. 

For participants with a baseline BMI ??? 24 kg/m2, when BMI decreased in follow-ups, the multivariable-adjusted HRs (95% CI) of short-term hypertension were 0.898 (0.857-0.942). For baseline 18.5 kg/m2 <= BMI < 24 kg/m2, when BMI increased in follow-ups, the risks of short-term hypertension were 1.103 (1.068-1.139). We detected that BMI changes had a lower impact on the incidence of hypertension in long-term than short-term. Our study indicated that BMI changes were significantly associated with the incidence of hypertension for the short-term, and it had a stronger impact on short-term outcomes than long-term. Managing weight by lifestyle modification was particularly important for the primary prevention of hypertension in rural Chinese population."
8,Prevalence of prehypertension and hypertension and its risk factors in Iranian school children: a population-based study,2018 Sep;36(9):1816-1824.,J Hypertens,Hossein Ebrahimi,https://doi.org/10.1097/hjh.0000000000001789,"Objective: Because of the incidence of a childhood obesity epidemic and the widespread changes in people's lifestyle, the prevalence of high blood pressure in children is increasing. This study was conducted to determine the prevalence of prehypertension and hypertension and its risk factors in Iranian children.

Methods: Using random cluster sampling in urban areas and census in rural areas, a total of 5620 schoolchildren aged 6-12 years living in Shahroud, Northeast of Iran, were studied. The prevalence of hypertension was determined on the basis of the fourth report of the diagnosis, evaluation, and treatment of high blood pressure in children and adolescents by age, sex, and place of residence. The factors influencing blood pressure were studied using multivariate regression.

Results: The prevalence of prehypertension was 7.44% and the prevalence of hypertension was 6.82%. The relative risk ratio (RRR) of prehypertension was 1.17 for BMI, 1.43 for female sex, and 3.71 for residence in rural areas; in addition, the RRR of hypertension was 1.22 for BMI, 6.64 for residence in rural areas, 1.69 for moderate economic status, and 1.89 for low economic status.

Conclusion: The prevalence of prehypertension and hypertension is significant in children and alarming in rural areas and requires urgent intervention. As factors such as high BMI, female sex, residence in rural areas, and moderate and low economic status are associated with increased risk of prehypertension and hypertension, it is recommended to conduct routine care programs at regular intervals in schools to prevent hypertension and its related complications."
